DESCRIPTION,CATEGORY
"Коктейль молочный ультрапастеризованный со вкусом груши, 3.2 %, ТМ Село Зеленое, 200 мл",Продукты питания и напитки
"Комбайн рисоуборочный гусеничный 4LZ-6.0P, номер машины №QRLKC355025, двигатель №DK4S9M00048",Прочие товары
Перенос данных,Прочие товары
ОРГАНАЙЗЕР NO NAME 23*16*12 KEEP IT SIMPLE,Прочие товары
"5106.3709 Тумблер 3-х позиционный, крепление гайкой, IMPULS",Офисная техника и расходники
"Йогурт Дольче ФМ Тирамису 6% 0,160кг",Продукты питания и напитки
Возмещение расходов по  отоплению,Прочие услуги
"Краска моющаяся ""Радуга-210"" акриловая Y-095 10 кг",Строительные материалы и отделка
КОНФЕТЫ БАЯН СУЛУ ШОКОЛЛИНИ ГЛАЗИРОВАННЫЕ ВЕС,Продукты питания и напитки
"Набор Shine ESTEL HAUTE COUTURE (LUXURY SHINE: Шампунь 300 мл, Маска для волос 200 мл, Масло",Бытовая химия и хозтовары
НОСКИ КАПРОНОВЫЕ КРУПНАЯ СЕТКА 2202,Одежда и текстиль
Компьютер для видеостены,Офисная техника и расходники
смазка проникающая 200 мл,Прочие товары
БУМАГА ДЛЯ ВЫПЕЧКИ QUALITA 6м,Канцтовары и упаковка
"Гидравлический рукав ROCKMASTER/4SP DN12, фитинги - 2,75 м",Прочие товары
ЗОЛОТАЯ ЗВЕЗДА КАРАНДАШ ДЛЯ ИНГАЛЯЦИЙ 1.3г,Ювелирные изделия и аксессуары
Диклофенак-Тева 75мг/2мл №5 амп,Прочие товары
92030716 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"Электромагнитный расходомер Promag 10W1F, DN150 6""  10W1F-UC0A1AA0A0AA",Оборудование и инструмент
LYGU3044617 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
10105999 Щетка -массажная 7*22см,Бытовая химия и хозтовары
2CDS252001R0324 S202- C 32 Mini Circuit Breaker,Прочие товары
КОФЕ JARDIN 75ГР РАСТВОРИМЫЙ COLOMBIA MEDELLIN Д/П,Продукты питания и напитки
HZ8618 Спортивный топ жен.,Прочие товары
FZ1206 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
Монтажная пена ,Строительные материалы и отделка
СПЕЦТЕХНИКА INDA IMPORT СКОРАЯ ПОМОЩЬ,Прочие товары
7 сынып Физика ,Прочие товары
Проживание  в отеле Dautbayev Assyl c 29.06-01.07.2023г.,Офисная техника и расходники
Эмаль ПФ-115 белая,Строительные материалы и отделка
Услуга связи за май 2025 г.,Прочие услуги
"Эмаль ""Eco-lux"" для интерьеров и фасадов ""Радуга-113"" акриловая G-159",Строительные материалы и отделка
Удочки рыболовные,Одежда и текстиль
MOTIVE 20 КОЛГ/ЖЕН NERO 3,Прочие товары
услуги охраны тревожной кнопки за сентябрь 2022,Прочие услуги
"Брусчатка 'Кирпич прессованый "" 10/20/5",Строительные материалы и отделка
ПЕРЕЦ ВЕРЕС 500Г СЛАДКИЙ,Продукты питания и напитки
Орешки Крепежные 12шт,Строительные материалы и отделка
Скумбрия б/г  35+ 1кор (коробками 22кг в коробке),Канцтовары и упаковка
HM1771 Кепка взр.,Прочие товары
Прижимная планка для пылеотсоса FT 100- 202,Прочие товары
ЙОГУРТ ПИТЬЕВОЙ ЧУДО 260гр ЧЕРНИКА/МАЛИНА,Продукты питания и напитки
"ВОДА МИНЕРАЛЬНАЯ ЕССЕНТУКИ 0,5л №17 ПЭТ",Продукты питания и напитки
КРЕМ Д/РУК Я САМАЯ ECO BALANCE 80МЛ ЗАЩИТА,Бытовая химия и хозтовары
КОГДА Я ВЫРАСТУ печенье дет 60г С ЯБЛОКОМ 5мес+,Продукты питания и напитки
СП Паста для вывода шерсти 60 мл S 103,Продукты питания и напитки
"Мед. реабилитация и восстановительное лечение 1-го чел в номере ""Standard"" Блюм Алексендр Иванович",Прочие услуги
"5150-75109-001 Polycom RealPresence Desktop for Windows and Mac OS, 1 user",Прочие товары
ЧЛ КРЕМ Д/ЛИЦА ПИТАТЕЛ НОЧНОЙ Д/НОРМ КОМБИН 40МЛ,Бытовая химия и хозтовары
"ЕВ LIQUID CONTROL Инновационная жидкая тональная основа №010 - LIGHT BEIGE , 32мл",Прочие товары
Мост диодный дв. ЗМЗ-406 (90А) (Саранск),Прочие товары
Вертикальные жалюзи 7 кв,Прочие товары
Услуги по техническому обслуживанию объектов привозного водоснабжения  ст. Карсакпай за октябрь  2022 года,Прочие услуги
"Кофеин-бензоат натрия, раст. для инъек. в ампул. 20% 1мл №10 [QR] (Борисовский ЗМП/БЕЛАРУСЬ)",Продукты питания и напитки
ЛАПША БИГ БОН ТОМЯМ 85ГР,Продукты питания и напитки
93-320-00982-1 Серьги (Ag 925),Ювелирные изделия и аксессуары
HJMU1437024 (Хранение груженного контейнера на СВХ 40ф),Транспортно-логистические услуги
"Размещение наружной рекламы на билбордах,  Павлодар,  Октябрь 2024",Рекламные и маркетинговые услуги
Дрель для строительства модель: GBM-8,Оборудование и инструмент
"LYGU3044031 (Терм.обработка груженного контейнера 20ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
HK2337 Футболка муж.,Одежда и текстиль
"Размещение рекламы на цифровых форматах,  Костанай,  Март 2025",Рекламные и маркетинговые услуги
ШАМПУНЬ АРГАН 750МЛ,Бытовая химия и хозтовары
АГ 85г ПРОМО Мол с Фундуком шоколад,Продукты питания и напитки
H67168 Брюки муж.,Одежда и текстиль
конфета,Продукты питания и напитки
Услуги по продвижению продукции ТМ стоевъ,Прочие услуги
П/Ф ГОВЯД ОГУЗОК,Прочие товары
ОЛЕОС МАСЛО КАСТОРОВОЕ КОСМЕТИЧЕСКОЕ 30мл,Продукты питания и напитки
Сопровождение по санаторно-курортному лечению 1 чел.13 дней (70%) Турсалиева Айжан Аширхановна ,Прочие услуги
"Эмаль ""Super"" универсальная ""Радуга-117"" глянцевая акриловая J-382 9 л",Строительные материалы и отделка
GX3091 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
"Техническое обслуживание системы пожарной  сигнализации в помещениях Экспоцентра ""Рахат""по адресу: г.Семей,ул.К.Мухамедханова,34 за сентябрь 2022 г",Прочие услуги
"Самосвал Камаз 6520 041, ГРНЗ Н002801 за май 2022г, согласно приложения табеля работы техники за май 2022г.",Лекарства
"Чай ""Пиала Голд"" 100пак",Продукты питания и напитки
"Услуги охраны объекта Жеңіс, д. 81 за сентябрь 2022г.",Прочие услуги
"P22002 Нить хирургическая Propilen , не абсорбируемая мононить, синтетическая , без покрытия, цвет синий USP 5/0 , метрич. 1, игла колющая 20 ,1/2 , 90 см, сер. 057559, годен до 02.2025 г (DOGSAN TIBBI MALZEME SAN.A.S.Турция) Сертификат соответствия продукции №KZ.7700.02.01.00628789 от 13.03.2020 г, действительно до 01.03.2025 г",Медицинские изделия и расходники
ЗАПРАВКА ПАПРИЧИ 40гр К САЛАТУ ОЛИВКОВАЯ С ТРАВАМИ,Продукты питания и напитки
"ЧУДО ЙОГУРТ ГРИЛЬЯЖ-ВИШНЯ 2,4% 0,270ГР",Продукты питания и напитки
БАЛЬЗАМ ELSEVE 400мл ЭКСПЕРТ ЦВЕТА,Бытовая химия и хозтовары
"Печать постеров, Ситилайт Decaux MUPI,  Алматы,  Май 2023",Рекламные и маркетинговые услуги
LYGU8035670 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
BIO-МЫЛО ЖИДКОЕ Я САМАЯ 500мл ПЕРСИК И МИНДАЛЬ,Продукты питания и напитки
GESU4568755 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
Ваф.Рахат вишневые пп/пл 0.400,Прочие товары
50-79-0000-27530 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"ремкомплект ГУРа MB W124, W201",Строительные материалы и отделка
8/65 Безаммиачная краска для волос SENSATION DE LUXE светло-русый фиолетово-красный (60 мл),Строительные материалы и отделка
Проживание в отеле Mukhanova Rimma с 11.05.2023г. по 16.05.2023г. с ранним заездом,Офисная техника и расходники
"Краска для фасадов ""Радуга-18"" акриловая H-114",Строительные материалы и отделка
Рычаг передний в сборе Nexia,Прочие товары
"Orbit Бел Мега bubl 20*12*16.4г KZ,BY,AM",Продукты питания и напитки
НАСОС МАСЛЯНЫЙ УАЗ,Оборудование и инструмент
Стеклянная перегородка,Прочие товары
Разработка ПСД по объекту «Строительство ИКС под строительство ИЖС в с.Улкеншыган Панфиловского района области Жетісу»,Прочие услуги
"МУФТА ВЫКЛЮЧЕНИЯ СЦЕПЛЕНИЯ В СБОРЕ ГАЗ 53, 3307, 3308  (УСИЛЕННАЯ ЛЮКС) (С ПРУЖИНКОЙ 11-7562) (PRAVT",Автозапчасти и сервис авто
GZ5922 Сланцы взр.,Обувь и средства индивидуальной защиты (СИЗ)
КРЕМ Д/ЛИЦА ДНЕВ ЧЖ ОТ 36ЛЕТ,Бытовая химия и хозтовары
95030218 Подвеска (Ag 925),Ювелирные изделия и аксессуары
Аренда магазина за ноябрь м-ц 24г.     ,Аренда оборудования и прочая аренда
СЫР ЛАМБЕР-ГОЛЛАНДСКИЙ 45% 180ГР,Продукты питания и напитки
"TSPQK2590  Спинальная игла Quincke c интродьюсером 25Gx90mm, сер, SPQK22037, годен до 07.2027 г (TMT Tibbi Medikal Malzemeleri Sanayi ve Ticaret A.S., Турция) Сертификат соответствия продукции №KZ.7700.02.01.00891395 от 05.09.2022 г, действительно до 01.08.2027 г",Медицинские изделия и расходники
"DFSU2133686 (Услуги СВХ 0,2%)",Прочие услуги
"PHLU5008651 (Разгрузка/погрузка механизированная с вагона,из контейнера,авто)",Транспортно-логистические услуги
Рытье котлована ,Прочие товары
:HS Блз ПрПер DERMA XPRO Увл_И_Укр 220мл,Прочие товары
DAMAVIK ЩЕТКА ДЛЯ ОБУВИ С ДЕЗАТОРОМ СИЛИКОНА 6МЛ,Бытовая химия и хозтовары
Ролик ремня приводного обводной,Прочие товары
"Аренда Аппарат сварочный полуавт. с подачей сварочной проволоки в комплекте DC400 C, инв. № 499 за октябрь 2024г.",Медицинские изделия и расходники
Кольцо 080*090 (215),Ювелирные изделия и аксессуары
"Bolgrad  Vintage Брют белое, сухое",Прочие товары
Прибор для выжигания по дерев,Прочие товары
Возмещение затрат по услугам  связи тел: 54-14-13 за сентябрь  2022г,Прочие услуги
"ВОДКА НЕКТАР КОЛОСКА 0,5Л. НА МОЛОКЕ",Продукты питания и напитки
"Аренда МАЗ 551605-230-024 г/н 809 СК02, за июнь 2025 г.",Аренда оборудования и прочая аренда
"PR.А21R23.8119200 Фильтр салонный ГАЗель Next, ГАЗон Next (аналог GB-9972, ЕКО-04.36) (PRAVT)",Автозапчасти и сервис авто
"7/75 Крем-краска для волос ESTEL PRINCE, Русый коричнево-красный (100 мл)",Бытовая химия и хозтовары
Пирантел 250мг №3 табл,Лекарства
ARKO MEN ГЕЛЬ Д/БРИТЬЯ 200МЛ ЧЁРНЫЙ,Лекарства
"Фарма-Хлор (1 кг-300,б/б,б/игл)",Медицинские изделия и расходники
НАПОЛНИТЕЛЬ ЛЮБИМАЯ КОШКА ЛЕСНОЙ 5л,Прочие товары
Спрей Увлажнение Защита от UV-лучей для всех типов волос  CUREX SUNFLOWER 200мл,Лекарства
Брызговик задний правый,Прочие товары
"Мед. реабилитация и восстановительное лечение 1-го чел в номере ""Standard"" Колмаков Олег Игоревич",Прочие услуги
"Печать постеров,  Астана,  Февраль 2023",Рекламные и маркетинговые услуги
рисовый бумага,Канцтовары и упаковка
ШАРНИРЫ ПОВОРОТНОГО КУЛАКА,Прочие товары
GT6558 Куртка муж.,Продукты питания и напитки
ТУАЛЕТНАЯ БУМАГА VEIRO 2СЛ 24РУЛОНА,Бытовая химия и хозтовары
Услуги водоснабжения Гараж Серова 55 568-799,Прочие услуги
"Стопресс, таб.4мг №30 [QR] (Фармацевтический завод Польфарма АО/Польша)",Лекарства
"РУКАВ 18*27-1,6 МБС (бухты,м), ГОСТ 10362-2017, Элад",Прочие товары
Шпинат листовой  450гр/20шт,Продукты питания и напитки
Термометр сопротивления RTD Thermometer TR61  TR61-ECEA0BKSAK7B,Прочие товары
НАШ ЛЕЦИТИН N30 капс,Лекарства
"Боярышника плоды 100,0 Зерде НДС",Прочие товары
КРАСКА-ВОССТАНОВИТЕЛЬ ЦВЕТА LEATHER FRESH 200МЛ,Строительные материалы и отделка
БАТОН КУЛИНАРИЯ,Прочие товары
Обклейка барной стойки черным ораколом,Прочие товары
CCLU6517332 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
ИКРА ЧЕРНАЯ АС 180ГР СЛИВОЧНЫЙ МИКС,Продукты питания и напитки
МАМБА ФРУМЕЛАДКИ 70ГР,Продукты питания и напитки
КАПУСТА КРАСНОКОЧАННАЯ КАЗАХСТАН,Продукты питания и напитки
Сальник полуоси NOK,Автозапчасти и сервис авто
Кольцо 079*085-30,Ювелирные изделия и аксессуары
МАСЛО БЕРГАМОТА 15мл,Продукты питания и напитки
СОУС MR RICCO КАРБОНАРА 440ГР,Продукты питания и напитки
OS Гелевый Дез А/П Whitewater 70мл,Прочие товары
"Капперсы Пунтина Лакримелла в уксусе ""И.П.О.С.Е.А"" ст/б., 690 гр.",Продукты питания и напитки
"Плата Gigabyte A520M DS3H V2 (REV1.0), AM4",Прочие товары
LYGU5031497 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
Ларфикс 8 мг №30 табл.п.о.,Лекарства
Вентиль шаровый 25,Прочие товары
автомобильные запчасти,Прочие товары
ДРЕВО ЖИЗНИ СЕМЕНА ЛЬНА БЕЛОГО 200ГР,Продукты питания и напитки
"ВИНО MILAGRO TORO 0,7Л SAUVIGNON BLANC БЕЛ.ПОЛУСЛА",Продукты питания и напитки
патрон,Прочие товары
GZ7724 Кроссовки муж.,Обувь и средства индивидуальной защиты (СИЗ)
Перезарядка огнетушителей ОУ-7,Офисная техника и расходники
H47499 Кепка взр.,Прочие товары
"ШЕСТЕРНЯ ВЕДУЩАЯ ПРОМЕЖУТ.ВАЛА 5 СТ. ДЛЯ ГАЗ-3302,-2217 (36 ЗУБ)",Автозапчасти и сервис авто
белес в/с 25кг,Прочие товары
S23935 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
ФИТОЧАЙ ЧЕРЕДА 30г сыр раст,Продукты питания и напитки
"Размещение наружной рекламы Астана,  Октябрь 2022",Рекламные и маркетинговые услуги
IC9415 Брюки муж.,Одежда и текстиль
Монтаж щитов распределительных,Лекарства
МАКРОМИЦИН 3млн.МЕ N10 таб п.о.,Лекарства
ЯЙЦО 3D 20шт ПЕРЕПЕЛИНОЕ,Продукты питания и напитки
Комплект роликов для раздвижных дверей Soft LINE 45/4¶,Строительные материалы и отделка
"Техническое обслуживание систем АПС,ОС,Речевого оповещения на объектах  рынка ""Жансая"" по адресу :РК ,ВКО,г.Семей,ул.Найманбаева,211 за октябрь 2022 г.",Прочие услуги
80062 Кольцо (Ag 925),Ювелирные изделия и аксессуары
КОЛГОТКИ INNAMORE FLEUR 20 NERO 5,Прочие товары
В 52662913 (Возмещение расходов  по ж/д услугам),Прочие услуги
23310939 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Фурнитура металлическая,Строительные материалы и отделка
6422-3509262-Р Трубка масляная компрессора (длинная кривая),Оборудование и инструмент
"Техническое обслуживание лифтов в июле  2022  г. по адресу: пр. Комсомольский, 49",Прочие услуги
ЦИТЛИН 250мг/мл 4 мл №5 р-р д/в/в и в/м введ,Прочие товары
HT9015 Мяч взр.,Прочие товары
Предохранитель 250V 5A,Прочие товары
"Печать постеров,  Семей,  Ноябрь 2023",Рекламные и маркетинговые услуги
"Печать постеров, Двойной ситилайт,  1,19*1,75,  Астана,  Ноябрь 2022",Рекламные и маркетинговые услуги
СИГАРЕТЫ HEETS SELECTION,Прочие товары
ХРУСТЯЩИЕ БАУЫРСАКИ 200ГР,Прочие товары
квартплата с 01июля по 30 октября 2023 года,Прочие товары
"Размещение наружной рекламы на билбордах,  Сарыагаш,  Ноябрь 2023",Рекламные и маркетинговые услуги
"Ипигрикс,таб. 20мг №100 (Гриндекс/Латвия)//ЛАТВИЯ",Лекарства
Диск жесткий Внутренний диск HDD 128 ГБ ,Прочие товары
КОРТЕКСИН 10мг N10 лиоф д/р-ра д/в/м введ,Прочие товары
Устройство и установка перилы лест.марша и лест.площадок (Спорткомплек в.с.Дүронғар Кармакчинского района),Прочие услуги
ГОВЯДИНА КУБЛЕЙ 325гр ТУШЕНАЯ ПРЕМИУМ ВЫСШИЙ СОРТ,Прочие товары
"Крупа  Манная   0,7гр.",Продукты питания и напитки
"Средство дезинфицирующее с моющим эффектом ""Ushbetin"", 5л",Бытовая химия и хозтовары
Отходы и лом черных металлов 5A,Прочие товары
Кремовые лакомства для кошек краб 15гр/шт,Бытовая химия и хозтовары
"Краска ""Rossa"" для стен и обоев моющаяся ""Радуга-216"" акриловая V-431 9 л",Строительные материалы и отделка
"Микразим (панкреатин) 10000 ЕД, капс., №20 (АВВА РУС/РОССИЯ)",Лекарства
"TDLU6211700 (Услуги СВХ 0,2%)",Прочие услуги
"Крепкая Лимонка,плодовое,ароматизированное",Прочие товары
"Мусорные пакеты 120 литров, 10 шт. в рулоне черные",Прочие товары
Плафон,Прочие товары
"АВТОМОБИЛЬ, МОДЕЛЬ: TOYOTA COROLLA (БЕНЗИН,4+1),ГОД ВЫПУСКА:2022,ОБЪЕМ:1598,VIN:NMTBB0BE80R125903,КУЗОВ:NMTBB0BE80R125903,ДВИГАТЕЛЬ:1ZR 6A99614, ШАССИ:Н/У, СТОИМОСТЬ:16633,МОЩНОСТЬ:90КВТ, НАИМЕНОВАНИЕ МАРКИ:TOYOTA, КОД МАРКИ:628,,",Автозапчасти и сервис авто
"Размещение рекламы на цифровых форматах,  Петропавловск,  Сентябрь 2023",Рекламные и маркетинговые услуги
"NATURE’S PROTECTION Urinary Adult Cat Chicken with White Fish and Cranberry, консервированный корм для взрослых кошек, для поддержания здоровья мочевыделительной системы, с курятиной, белой рыбой и клюквой, 100 г, в пауч-упаковке",Продукты питания и напитки
"Услуги охраны  объекта находящегося  по адресу :Западно-Казахстанская область, г.Уральск г.Уральск, ул.Мухита 78/1",Прочие услуги
СЕРВЕЛАТ ГОВЯЖЬЯ ХАЛАЛ Ф/З Ф/К УРАЛЬСКИЕ ВЕС 87554,Продукты питания и напитки
Услуги интернет за октябрь 2024г ,Прочие услуги
Сальник привода правый и левый на Toyota Camry 45 JTNBE40K303212145,Автозапчасти и сервис авто
ПЛОМБИР ДЕП 500ГР ДЕПОВСКИЙ,Прочие товары
Кладка газаблока 250*620*300,Прочие товары
ШПИЛЬКА ЯМЗ-240 КРЕПЛЕНИЯ ГОЛОВКИ БЛОКА (ОАО АВТОДИЗЕЛЬ),Прочие товары
"Ошейник для кота WAUDOG Nylon с рисунком, ""Линия 1"" (ширина 10 м,м,, длина 20-30 см,)",Зоотовары
Регулятор напряжения на автомобиль Mercedes Benz S500L 4 Matic (222),Прочие товары
"Рычаг тормоза регулировочный автоматический (изогнутый) ПАЗ-3203, 3204, КАВЗ передний и задний левый (РТ-40-09) АВТОМАГНАТ",Продукты питания и напитки
СЕМГА ФИЛЕ-КУСОК ПОДКОПЧЕННАЯ САНАТ БРЕМОР 300ГР,Продукты питания и напитки
HG6093 Футболка муж.,Одежда и текстиль
IB3236 Шапка взр.,Одежда и текстиль
"Работы по ремонту/реконструкции электрического, электрораспределительного/регулирующего оборудования и аналагичной аппаратуры в ТП -871 ТМ6/04 кВ, 400 кВа",Лекарства
HG8666 Брюки жен.,Одежда и текстиль
"Размещение наружной рекламы на билбордах,  Актау,  Апрель 2023",Рекламные и маркетинговые услуги
"Мед. реабилитация и восстановительное лечение 1-го чел в номере ""Standard"" Кравчук Сергей Ярославович",Прочие услуги
АВЕН КЛИНАНС WOMAN СЫВОРОТКА 30мл,Прочие товары
МАСКА ДЛЯ ВОЛОС СВЕЖАЯ КОСМЕТИКА КОКОСОВАЯ 180МЛ,Прочие товары
70509А.5 Пирсинг (Ag 925),Ювелирные изделия и аксессуары
"Аугментин, пор. для приг-я сусп. 200мг/28,5мг/5мл 70мл (Глаксо Вэллком)",Лекарства
HP9437 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
Привод управления 700А.17.01.210 -1,Прочие товары
Стремянка металлическая 4-х ступенчатая ,Прочие товары
НЕСКВИК КАКАО-НАПИТОК 500ГР,Продукты питания и напитки
САЛФЕТКИ ДЛЯ УБОРКИ ИЗ НЕТКАННОГО ПОЛОТНА 38*38СМ 3ШТ,Бытовая химия и хозтовары
"Шкворень ГАЗ-53, 3307 в сборе ф/упак.",Прочие товары
"Перчатки оранжевые, летнии с черной ладошкой",Прочие товары
Аренда помещения за декабрь 2023 г.,Аренда оборудования и прочая аренда
Техническое обслуживание системы пожарной сигнализации  за декабрь   2022 года.,Прочие услуги
МАСЛО ЭВКАЛИПТА 10мл,Продукты питания и напитки
"Монтаж/демонтаж постеров, Ситилайт,  3,14*2,3,  Алматы,  Ноябрь 2023",Прочие услуги
Кофе Двойной Американо 300 мл,Продукты питания и напитки
ПЕРЕЦ СЛАДКИЙ ЛЕЧО 680ГР,Продукты питания и напитки
TGHU9106710 (Хранение груженного контейнера в обычной зоне 40ф),Транспортно-логистические услуги
H57312 Брюки жен.,Одежда и текстиль
МАРМЕЛАД РАХАТ 125ГР ZOO MIXX СТАРМОДЖИ,Продукты питания и напитки
42-1219 Серьги (Ag 925),Ювелирные изделия и аксессуары
ПОЛОТЕНЦЕ АРТ СОФТ МАХРОВОЕ РЕТРО 50*90,Одежда и текстиль
Конверт А5 162*229 белый,Канцтовары и упаковка
ММ355-3829010 Датчик давления,Автозапчасти и сервис авто
Переключатель поворотов ГАЗ,Прочие товары
Погрузо-разгрузочные работы за 04.03.2025г.(сверхурочно),Прочие товары
"Болт М10х1,25х40 крепл. выхлопн. трубы к глушителю",Строительные материалы и отделка
Нож разделочный маленький,Прочие товары
"SILU2764222 (Терм.обработка порожнего контейнера 20ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
"06/06 ""Пломбир на сливках"" мороженое пломбир ванильный 450г/8",Продукты питания и напитки
FX4160 Кроссовки дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
ДЖ Таблетка 2 шт в бачок Хвоя зеленая WC,Лекарства
КАША ДЕТСКОЕ ФРУТО НЯНЯ МУЛЬТИЗЛАКОВАЯ 200ГР,Продукты питания и напитки
116ABF19/22ABN05 (Хранение еврофуры без разгрузки на СВХ ),Прочие услуги
Рулетка 5 м,Прочие товары
3302-3506025-10 Шланг тормозной передний для а/м ГАЗель (ДЗТА),Автозапчасти и сервис авто
"Кран отопителя ГАЗель Бизнес, Соболь, 2705",Автозапчасти и сервис авто
"Перевыставление услуг АО ""КТС"" по подаче и уборке вагонов (вагон:63255137)",Транспортно-логистические услуги
Транспортные услуги манипулятора грузоподъемность до 7 тонн. гос. Номер 350AMQ09 проект 07-011-24     ,Прочие услуги
LYGU3044047 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
Шпилька М8*30 впускного коллектора,Прочие товары
HQ6606 Кроссовки взр.,Обувь и средства индивидуальной защиты (СИЗ)
180712 подшипник,Автозапчасти и сервис авто
ЛАМПА H1 12/55 9SMD  ДИОД МАЯК,Прочие товары
Поручень для санитарно-гигиеничес комнат,Прочие товары
1562 ТРЯПОЧКА ANA ДЛЯ КУХНИ 3ШТ,Прочие товары
Услуги по продвижения продукции ТМ Шторк за июль 2022г,Прочие услуги
"Услуги по проведению мероприятий, который стимулируют активность покупателей, путем продажи Продукции под торговыми марками APPLEmix или путем  их информирования о продаже продукции по акционным ценам в период с 01.02.2022 г. по 28.02.2022 г.",Оборудование и инструмент
SAVIC Миска пласт прямоуг соб. 0150-0000,Прочие товары
Семга (Филе) 300гр,Продукты питания и напитки
"Фруктовое пюре Monin Ананас ""PINEAPPLE"", пэт, 1л.",Оборудование и инструмент
СКОТЧЬ 45/160 ШТ,Прочие товары
DANOGIPS JET 5 шпатлевка полимерная финишная 20кг,Строительные материалы и отделка
94020533 Серьги (Ag925),Ювелирные изделия и аксессуары
"Булочка БРиошь классик 0,60 кг",Прочие товары
Опора рычага переключ.передач в сб (кулиса),Прочие товары
"ВОДА САМАЛ 1,5Л ГАЗ",Продукты питания и напитки
SA  жидкий порошок ,Бытовая химия и хозтовары
"Вихревой расходомер Prowirl F 200, 7F2C1F, DN150 6""  7F2C1F-GRDCCAADAADD1SKA1+AIEBEU ",Оборудование и инструмент
OOLU8137384 (Дополнительные услуги СВХ.Таможенный осмотр.Завершение транзита),Прочие услуги
"Бренди традиционный специального наименования особый ""Джеймс Бразерс""",Продукты питания и напитки
КОКТЕЙЛЬ LACTEL 200мл КЛУБНИКА/ВИТАМИН D,Продукты питания и напитки
УЛЬТРАБИОТИК N16 капс,Лекарства
"Газоанализатор Микросенс М3 (H2S, CH4, CO2, CO)",Прочие товары
ТОЧИЛКА ДЛЯ НОЖЕЙ,Прочие товары
ЕМКОСТЬ BEROSSI ДЛЯ ХОЛОДИЛЬНИКА RAIDO 281Х184ХH89,Прочие товары
"Кювета пластмассовая для валиков, 330х350 мм, Россия// Сибртех",Автозапчасти и сервис авто
ХАГГИС УЛЬТРА КОМФОРТ ПОДГУЗНИКИ Д/МАЛЬЧ 5 N64 ГИГА,Детские товары / гигиена
Thromborel S 10 x for 10 ml 1000 (Реагент для определения Thromborel S 10 x на 10 мл 1000),Прочие товары
7/18 Краска для седых волос  Русый пепельно-жемчужный VINTAGE ESTEL HAUTE COUTURE,Строительные материалы и отделка
КРАСКА Д/ВОЛОС PALETTE 5 ТЕМНО-РУСЫЙ,Строительные материалы и отделка
Сжиженный газ (л),Прочие товары
"TCLU7413909 (Оформление док-в по отправке контейнеров,вагонов,платформ)",Транспортно-логистические услуги
Эл/двигатель ст/оч (ан.272.5205.100) 24В 50Вт .,Прочие товары
"Печ.LОТТЕ Чоклэт Пай Какао х/к 0.168 ( 0.028х6), (16упк) (2,688)",Продукты питания и напитки
"КОРМ ВИСКАС ГОВЯДИНА ПАШТЕТ ПОДУШЕЧКИ 1,9КГ",Зоотовары
"Мелаксен, таб., покр. обол. 3мг №24 (Unipharm Inc./США)",Лекарства
Штрих ленточный,Прочие товары
1210018797 Серьги (Ag 925),Ювелирные изделия и аксессуары
"ВИЛКА КАРДАННОГО ВАЛА ШЛИЦЕВАЯ ПРОМЕЖУТОЧНАЯ ВОЛГА, ГАЗЕЛЬ",Автозапчасти и сервис авто
HM5132 Рюкзак взр.,Прочие товары
VHN F RENAL SPECIAL 400G,Прочие товары
"Морилка для дерева ""Радуга-21"" акриловая, цвет дуб 1 л",Прочие товары
3331557 Серьги (Ag 925),Ювелирные изделия и аксессуары
"Блок дверной ДСВ 2,08*1,27",Прочие товары
"Автомобиль МОДЕЛЬ: TOYOTA COROLLA S/D (БЕНЗИН,4+1),ГОД ВЫПУСКА:2022,ОБЪЕМ:1598,VIN:NMTBB4BE30R125895, КУЗОВ:NMTBB4BE30R125895  ДВИГАТЕЛЬ:1ZR 6A96535, ШАССИ:Н/У, СТОИМОСТЬ:18782,МОЩНОСТЬ:90КВТ, НАИМЕНОВАНИЕ МАРКИ:TOYOTA, КОД МАРКИ:628,,",Автозапчасти и сервис авто
"Бурение скважины для воды . Бурение роторное с прямой промывкой станками с дизельным двигателем на базе прицепа. Трубопроводы из НПВХ труб, диаметр 125 мм и толщиной 5мм. Укладка.",Строительные материалы и отделка
CAIU8958419 (Возмещение расходов  по ж/д услугам),Прочие услуги
